item_id,dataset,strategy,compute_budget,n_samples,answer_em,answer_f1,answer_precision,answer_recall,support_f1,support_precision,support_recall,accuracy,error
695d5d160bdc11eba7f7acde48001122,2wikimultihopqa,parallel,4096,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
d8de3d3d088411ebbd6dac1f6bf848b6,2wikimultihopqa,parallel,4096,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,
dc53832a0bd911eba7f7acde48001122,2wikimultihopqa,parallel,4096,32,0.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.5,
05a2dec4088811ebbd6eac1f6bf848b6,2wikimultihopqa,parallel,4096,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,
4ed23bf80bda11eba7f7acde48001122,2wikimultihopqa,parallel,4096,32,0.0,0.5714285714285715,0.4,1.0,0.0,0.0,0.0,0.5714285714285715,
d0a0a43c0bdd11eba7f7acde48001122,2wikimultihopqa,parallel,4096,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f8378b9e08ab11ebbd82ac1f6bf848b6,2wikimultihopqa,parallel,4096,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fc04494a0baf11ebab90acde48001122,2wikimultihopqa,parallel,4096,32,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,
84b56dcc0bd911eba7f7acde48001122,2wikimultihopqa,parallel,4096,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47bafeb40bde11eba7f7acde48001122,2wikimultihopqa,parallel,4096,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,
c0007a7a0bd911eba7f7acde48001122,2wikimultihopqa,parallel,4096,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,
90934fd908dc11ebbd9cac1f6bf848b6,2wikimultihopqa,parallel,4096,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,
8d18786e086a11ebbd5fac1f6bf848b6,2wikimultihopqa,parallel,4096,32,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,
