item_id,question,prediction,ground_truth,metrics
2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,"{'answer': 'Not specified in the context', 'supporting_facts': ['Dennis Quaid as Ethan Montgomery (adult) KJ Apa as teenage Ethan Montgomery Bryce Gheisar as eight - year old Ethan Montgomery', 'KJ Apa (born 17 June 1997) is a New Zealand actor.', 'There is no information provided in the context about the spouses of Dennis Quaid, KJ Apa, or Bryce Gheisar.']}",Meg Ryan,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,"{'answer': 'University of British Columbia', 'supporting_facts': ['Like his father, Pierre Berton worked in Klondike mining camps during his years as a history major at the University of British Columbia, where he also worked on the student paper ""The Ubyssey"".']}",University of British Columbia,"{'answer_em': 1.0, 'answer_f1': 1.0, 'answer_precision': 1.0, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 1.0}"
2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,"{'answer': 'By the end of November', 'supporting_facts': ['Century Lotus Stadium is a multi-purpose stadium in Foshan, China.', 'By November 5 had taken the city of Foshan.', 'By the end of November, the entire province was under Japanese control.']}",November 5,"{'answer_em': 0.0, 'answer_f1': 0.3333333333333333, 'answer_precision': 0.25, 'answer_recall': 0.5, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.3333333333333333}"
2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"{'answer': '15,900', 'supporting_facts': ['In 2004, Bank of America announced it would purchase Boston - based bank FleetBoston Financial for $47 billion in cash and stock.', 'It has a retail banking footprint that serves approximately 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines (ATMs).']}","15,900","{'answer_em': 1.0, 'answer_f1': 1.0, 'answer_precision': 1.0, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 1.0}"
3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?",{'answer': 'Error: Failed to parse final JSON.'},Medieval Latin,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,{'answer': 'Error: Failed to parse final JSON.'},expelled by the Soviet Union,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,{'answer': 'Error: Failed to parse final JSON.'},King James I of England,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,"{'answer': 'No information available in the context', 'supporting_facts': ['Queen of the Elephants is a book written by the conservationist and travel writer Mark Shand and the corresponding BBC documentary ""Queen of the Elephants"", based on the life of the first female mahout in recent times—Parbati Barua of Kaziranga.']}",Clio Goldsmith,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 0.0}"
2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"{'answer': 'nearly 25,000', 'supporting_facts': ['Edith Ellen Humphrey (11 September 1875 – 25 February 1978) was a British inorganic chemist who carried out pioneering work in co-ordination chemistry at the University of Zurich under Alfred Werner.', 'The biggest university in Switzerland is the University of Zurich with nearly 25,000 students.']}","nearly 25,000","{'answer_em': 1.0, 'answer_f1': 1.0, 'answer_precision': 1.0, 'answer_recall': 1.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'accuracy': 1.0}"
4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?",{'answer': 'Error: Failed to parse final JSON.'},Sebastian Cabot,"{'answer_em': 0.0, 'answer_f1': 0.0, 'answer_precision': 0.0, 'answer_recall': 0.0, 'support_f1': 0.0, 'support_precision': 0.0, 'support_recall': 0.0, 'error': 1}"
